original order in sheet,IMO number,IMO number [ref],Name,Name [ref],Notes,Other names,Other names [ref],Hull number,Hull number [ref],Status,Researcher,Last updated,Status [ref],Shipowner,Shipowner [ref],Shipowner country/area,Shipowner country/area [ref],Shipbuilder,Shipbuilder [ref],Shipbuilder yard country/area,Shipbuilder yard country/area [ref],Yard location latitude,Yard location longitude,Yard location plus code,Yard location accuracy,Yard location lat/lon [ref],Capacity,Capacity units,Capacity [ref],Cargo type,Cargo type [ref],Vessel type,Vessel type [ref],Propulsion type,Propulsion type [ref],Delivery year,Delivery year [ref],Delivery delayed,Previous delivery year(s),Previous delivery year(s) [ref],[Original source],Operator/charterer,Operator/charterer [ref],Contract date,Contract date [ref],Price,Price currency,Price [ref]
6,9904704,https://www.igu.org/igu-reports/2025-world-lng-report,Konstantin Posiet,"https://www.shipvault.com/ships/431882, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/431882","this was part of Arctic LNG 2, which has been sanctioned; IGU originally says 2025 delivery but BL is moving to 2026 for now",Hull 045 (Zvezda),"https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf, https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf",Hull 045 (Zvezda),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,"https://www.shipvault.com/ships/431882, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/431882",Smart LNG,https://www.igu.org/igu-reports/2025-world-lng-report,Russia,https://2021-2025.state.gov/imposing-measures-in-response-to-navalnys-death-and-two-years-of-russias-full-scale-war-against-ukraine/,Zvezda Shipbuilding,https://www.igu.org/igu-reports/2025-world-lng-report,Russia,https://www.sskzvezda.ru/,43.12037,132.3456,"48CW+88 Bolshoy Kamen, Primorsky Krai, Russia",exact,"https://www.google.com/maps/place/%D0%A1%D0%A1%D0%9A+%C2%AB%D0%97%D0%B2%D0%B5%D0%B7%D0%B4%D0%B0%C2%BB/@43.121004,132.34029,643m/data=!3m1!1e3!4m15!1m7!2m6!1sZvezda+Shipbuilding!3m4!2s39.890604,+-75.188622!4m2!1d-75.1886219!2d39.8906036!3m6!1s0x5fb3c2dbb55ec52d:0x1380efacbe890818!8m2!3d43.1207847!4d132.3458251!15sChNadmV6ZGEgU2hpcGJ1aWxkaW5nkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F11f03_n1zt?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",172600,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,"https://www.gtt.fr/news/gtt-receives-order-zvezda-tank-design-five-arc7-ice-breaking-lng-carriers, https://www.gtt.fr/news/gtt-entrusted-zvezda-tank-design-ten-arc7-ice-breaking-lng-carriers, https://www.rivieramm.com/news-content-hub/news-content-hub/gtt-tanks-chosen-for-first-15-russian-built-arctic-lng-carriers-61483",icebreaker,"https://www.novatek.ru/en/press/releases/index.php?id_4=4224, https://www.lngindustry.com/lng-shipping/11022020/smart-lng-signs-agreement-for-financing-of-icebreaking-lng-carriers/",DFDE,https://www.igu.org/igu-reports/2025-world-lng-report,2026,https://www.rivieramm.com/news-content-hub/news-content-hub/fleet-of-ice-breaking-carriers-propel-russiarsquos-arctic-lng-ambitions-61509,,,,IGU,Arctic LNG 2 LLC,"https://www.novatek.ru/en/press/releases/index.php?id_4=4224, https://www.lngindustry.com/lng-shipping/11022020/smart-lng-signs-agreement-for-financing-of-icebreaking-lng-carriers/, https://www.offshore-energy.biz/smart-lng-pens-lease-financing-deal-for-4-lng-carriers/",,,,,
19,9953262,https://www.igu.org/igu-reports/2025-world-lng-report,Hlaitan,https://www.igu.org/igu-reports/2025-world-lng-report,,Hull 1792A (Hudong),https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,Hull 1792A,https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,MOL,https://www.igu.org/igu-reports/2025-world-lng-report,Japan,https://www.mol.co.jp/en/,Hudong-Zhonghua Shipbuilding,https://www.igu.org/igu-reports/2025-world-lng-report,China,https://www.shipyards.gr/shipyards/new-buildings-shipyards/newbuilding-farest-pacific-ocean/newbuilding-far-east-china-sea/china-south/hudong-zhonghua-shipbuilding-group-coltd,31.271988,121.575478,"7HCG+R4 Pudong, Shanghai, China",exact,"https://www.google.com/maps/place/Hudong-Zhonghua+Shipbuilding/@31.2720706,121.5727207,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b2742eceeb203d:0x37fddc7176d2cc24!8m2!3d31.2720706!4d121.5752956!16s%2Fg%2F1td0qx6d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,QatarEnergy,"https://www.bairdmaritime.com/shipping/tankers/gas/qatarenergy-names-newest-174000cbm-lng-carrier, https://www.bairdmaritime.com/shipping/tankers/gas/qatarenergy-names-newest-174000cbm-lng-carrier",,,,,
21,9958664,https://www.igu.org/igu-reports/2025-world-lng-report,Kongtong,https://www.igu.org/igu-reports/2025-world-lng-report,,Hull 1836A (Hudong),https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,Hull 1836A,https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,United Liquefied Gas,https://www.igu.org/igu-reports/2025-world-lng-report,Hong Kong,"https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0630/2020063001526.pdf, https://www.dnb.com/business-directory/company-profiles.united_liquefied_gas_shipping_(hong_kong)_co_limited.3a59504491a60237f6ee20cb8547ee65.html",Hudong-Zhonghua Shipbuilding,https://www.igu.org/igu-reports/2025-world-lng-report,China,https://www.shipyards.gr/shipyards/new-buildings-shipyards/newbuilding-farest-pacific-ocean/newbuilding-far-east-china-sea/china-south/hudong-zhonghua-shipbuilding-group-coltd,31.271988,121.575478,"7HCG+R4 Pudong, Shanghai, China",exact,"https://www.google.com/maps/place/Hudong-Zhonghua+Shipbuilding/@31.2720706,121.5727207,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b2742eceeb203d:0x37fddc7176d2cc24!8m2!3d31.2720706!4d121.5752956!16s%2Fg%2F1td0qx6d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
23,9961489,https://www.igu.org/igu-reports/2025-world-lng-report,Greenergy Pearl,https://www.igu.org/igu-reports/2025-world-lng-report,,Hull 1881A (Hudong),https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,Hull 1881A,https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,MOL,https://www.igu.org/igu-reports/2025-world-lng-report,Japan,"https://www.mol.co.jp/en/corporate/profile/, https://en.wikipedia.org/wiki/Mitsui_O.S.K._Lines",Hudong-Zhonghua Shipbuilding,https://www.igu.org/igu-reports/2025-world-lng-report,China,https://www.shipyards.gr/shipyards/new-buildings-shipyards/newbuilding-farest-pacific-ocean/newbuilding-far-east-china-sea/china-south/hudong-zhonghua-shipbuilding-group-coltd,31.271988,121.575478,"7HCG+R4 Pudong, Shanghai, China",exact,"https://www.google.com/maps/place/Hudong-Zhonghua+Shipbuilding/@31.2720706,121.5727207,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b2742eceeb203d:0x37fddc7176d2cc24!8m2!3d31.2720706!4d121.5752956!16s%2Fg%2F1td0qx6d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
24,9903425,https://www.igu.org/igu-reports/2025-world-lng-report,Pacific Success,https://www.igu.org/igu-reports/2025-world-lng-report,,Hull 2315 (SHI),https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,Hull 2315,https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,Sinokor Maritime Co Ltd,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,"https://www.emis.com/php/company-profile/KR/Sinokor_Maritime_CoLtd_en_3936625.html, https://magicport.ai/owners-managers/south-korea/sinokor-maritime-co-ltd",Samsung Heavy Industries,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.samsungshi.com/En/Default.aspx,34.89804,128.6045,"VJW3+QV Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Samsung+Heavy+industries/data=!3m1!1e3!4m10!1m2!2m1!1ssamsung+heavy+industries!3m6!1s0x356ecd83691a8fb5:0xd4204e9a1bb0ef10!8m2!3d34.8969682!4d128.6046376!15sChhzYW1zdW5nIGhlYXZ5IGluZHVzdHJpZXOSAQhzaGlweWFyZOABAA!16s%2Fg%2F1tgcpry6?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
25,9903437,https://www.igu.org/igu-reports/2025-world-lng-report,Atlantic Success,"https://www.shipvault.com/ships/432642, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/432642",,Hull 2316 (SHI),"https://www.shipvault.com/ships/432642, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/432642",Hull 2316 (SHI),https://www.igu.org/igu-reports/2025-world-lng-report,on order,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,Sinokor Maritime Co Ltd,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,"https://www.emis.com/php/company-profile/KR/Sinokor_Maritime_CoLtd_en_3936625.html, https://magicport.ai/owners-managers/south-korea/sinokor-maritime-co-ltd",Samsung Heavy Industries,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.samsungshi.com/En/Default.aspx,34.89804,128.6045,"VJW3+QV Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Samsung+Heavy+industries/data=!3m1!1e3!4m10!1m2!2m1!1ssamsung+heavy+industries!3m6!1s0x356ecd83691a8fb5:0xd4204e9a1bb0ef10!8m2!3d34.8969682!4d128.6046376!15sChhzYW1zdW5nIGhlYXZ5IGluZHVzdHJpZXOSAQhzaGlweWFyZOABAA!16s%2Fg%2F1tgcpry6?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,inferred,conventional,inferred,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2026,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
26,9903449,https://www.igu.org/igu-reports/2025-world-lng-report,Mediterranean Success,"https://www.shipvault.com/ships/432643, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/432643",,Hull 2317 (SHI),"https://www.shipvault.com/ships/432643, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/432643",Hull 2317 (SHI),https://www.igu.org/igu-reports/2025-world-lng-report,on order,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,Sinokor Maritime Co Ltd,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,"https://www.emis.com/php/company-profile/KR/Sinokor_Maritime_CoLtd_en_3936625.html, https://magicport.ai/owners-managers/south-korea/sinokor-maritime-co-ltd",Samsung Heavy Industries,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.samsungshi.com/En/Default.aspx,34.89804,128.6045,"VJW3+QV Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Samsung+Heavy+industries/data=!3m1!1e3!4m10!1m2!2m1!1ssamsung+heavy+industries!3m6!1s0x356ecd83691a8fb5:0xd4204e9a1bb0ef10!8m2!3d34.8969682!4d128.6046376!15sChhzYW1zdW5nIGhlYXZ5IGluZHVzdHJpZXOSAQhzaGlweWFyZOABAA!16s%2Fg%2F1tgcpry6?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,inferred,conventional,inferred,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2027,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
27,9903451,https://www.igu.org/igu-reports/2025-world-lng-report,Caribbean Success,"https://www.shipvault.com/ships/432644, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/432644",,Hull 2318 (SHI),"https://www.shipvault.com/ships/432644, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/432644",Hull 2318 (SHI),https://www.igu.org/igu-reports/2025-world-lng-report,on order,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,Sinokor Maritime Co Ltd,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,"https://www.emis.com/php/company-profile/KR/Sinokor_Maritime_CoLtd_en_3936625.html, https://magicport.ai/owners-managers/south-korea/sinokor-maritime-co-ltd",Samsung Heavy Industries,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.samsungshi.com/En/Default.aspx,34.89804,128.6045,"VJW3+QV Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Samsung+Heavy+industries/data=!3m1!1e3!4m10!1m2!2m1!1ssamsung+heavy+industries!3m6!1s0x356ecd83691a8fb5:0xd4204e9a1bb0ef10!8m2!3d34.8969682!4d128.6046376!15sChhzYW1zdW5nIGhlYXZ5IGluZHVzdHJpZXOSAQhzaGlweWFyZOABAA!16s%2Fg%2F1tgcpry6?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,inferred,conventional,inferred,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2027,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
39,9961398,https://www.igu.org/igu-reports/2025-world-lng-report,Maran Gas Syros,https://www.vesselfinder.com/vessels/details/9961398,,Hull 2537 (Hanwha),https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,Hull 2537 (Hanwha),https://www.marinevesseltraffic.com/vessels/HANWHA-OCEAN-2537/CURRENT-POSITION/9961398/1,active,GEM,12/31/2024,https://www.vesselfinder.com/vessels/details/9961398,Maran Gas Maritime,https://www.igu.org/igu-reports/2025-world-lng-report,Greece,"https://www.sigtto.org/membership/member-stories/maran-gas-maritime-inc-mgm/, https://magicport.ai/owners-managers/greece/maran-gas-maritime-inc",Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GI,https://www.igu.org/igu-reports/2025-world-lng-report,2025,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
43,9970569,https://www.igu.org/igu-reports/2025-world-lng-report,Venture Pelican,"https://www.shipvault.com/ships/455308, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455308",,Hull 2541 (Hanwha),"https://www.shipvault.com/ships/455308, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455308",Hull 2541 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,"https://www.shipvault.com/ships/455308, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455308",Venture Global,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,200000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GA,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,2025,"https://www.shipvault.com/ships/455308, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455308",,,,IGU,,,,,,,
